epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,10108.8,1.74451,0.72976,0.97176,0.71599,0.67096,0.64756,0.39249,1.3949,1.15997,1.00449,0.000650909,0.000650909,0.000650909
57,10287.6,1.73912,0.72834,0.96211,0.64611,0.61836,0.64386,0.37617,1.46442,1.09307,1.04665,0.000636762,0.000636762,0.000636762
58,10470.1,1.72565,0.72486,0.97012,0.67269,0.5661,0.59861,0.35472,1.43334,1.21929,1.04413,0.000622615,0.000622615,0.000622615
59,10649.3,1.71776,0.72434,0.95219,0.65598,0.58454,0.59566,0.34548,1.49022,1.19087,1.07193,0.000608468,0.000608468,0.000608468
60,10826.5,1.74526,0.73123,0.95708,0.60607,0.69344,0.66535,0.39212,1.4853,1.02379,1.06265,0.000594321,0.000594321,0.000594321
61,11004.6,1.76716,0.7363,0.96295,0.62248,0.64959,0.61471,0.33483,1.49053,1.16581,1.04364,0.000580174,0.000580174,0.000580174
62,11182.4,1.7592,0.73296,0.96601,0.58768,0.61556,0.54133,0.28652,1.49502,1.57322,1.05601,0.000566027,0.000566027,0.000566027
63,11360.3,1.72276,0.72177,0.96265,0.72314,0.58818,0.63121,0.34582,1.52559,1.12971,1.04622,0.00055188,0.00055188,0.00055188
64,11538.6,1.71192,0.725,0.96262,0.55442,0.6631,0.5645,0.3081,1.52408,1.75075,1.05948,0.000537733,0.000537733,0.000537733
65,11717.6,1.72992,0.72136,0.95841,0.5842,0.6394,0.67246,0.38844,1.50915,1.09766,1.03736,0.000523586,0.000523586,0.000523586
66,11895.4,1.7178,0.72404,0.95993,0.68754,0.61569,0.66208,0.39148,1.45041,1.07242,1.04707,0.000509438,0.000509438,0.000509438
67,12073.4,1.70854,0.71061,0.96511,0.60284,0.57983,0.59071,0.32197,1.5103,1.15508,1.06468,0.000495291,0.000495291,0.000495291
68,12250,1.71632,0.72054,0.96373,0.63828,0.61252,0.57797,0.31521,1.48388,1.26269,1.05326,0.000481144,0.000481144,0.000481144
69,12427.8,1.70176,0.70905,0.95289,0.74358,0.57126,0.61615,0.35181,1.48714,1.1918,1.03307,0.000466997,0.000466997,0.000466997
70,12607.4,1.73175,0.70331,0.95904,0.61897,0.60978,0.6381,0.36402,1.48565,1.17691,1.03682,0.00045285,0.00045285,0.00045285
71,12785.5,1.70006,0.70821,0.95519,0.7451,0.53126,0.62585,0.36243,1.4505,1.15447,1.0255,0.000438703,0.000438703,0.000438703
72,12963,1.70052,0.70684,0.95091,0.4977,0.63558,0.51602,0.27402,1.54542,1.48257,1.04734,0.000424556,0.000424556,0.000424556
73,13140.6,1.69364,0.69503,0.95294,0.58679,0.7009,0.64182,0.36825,1.49579,1.26555,1.04351,0.000410409,0.000410409,0.000410409
74,13317.2,1.70503,0.69965,0.95075,0.68363,0.57633,0.66252,0.39138,1.46769,1.0922,1.05828,0.000396262,0.000396262,0.000396262
75,13495.9,1.70787,0.70997,0.95254,0.74573,0.58574,0.66145,0.37796,1.48235,1.08512,1.04352,0.000382115,0.000382115,0.000382115
76,13673,1.70428,0.70597,0.94811,0.69295,0.61492,0.62159,0.34254,1.50656,1.14857,1.04046,0.000367967,0.000367967,0.000367967
77,13851.8,1.66347,0.6871,0.95597,0.63819,0.59014,0.59012,0.32675,1.45267,1.21915,1.03109,0.00035382,0.00035382,0.00035382
78,14030.9,1.66813,0.68845,0.95992,0.63431,0.55032,0.5994,0.35132,1.47272,1.17351,1.02782,0.000339673,0.000339673,0.000339673
79,14221.4,1.68349,0.68849,0.95515,0.70455,0.59452,0.62893,0.37449,1.43909,1.18006,1.03144,0.000325526,0.000325526,0.000325526
80,14404.4,1.68058,0.693,0.94709,0.72183,0.60157,0.6473,0.39637,1.43975,1.13128,1.03445,0.000311379,0.000311379,0.000311379
81,14582.2,1.68421,0.6843,0.94417,0.72411,0.54419,0.6318,0.36913,1.45948,1.16055,1.04271,0.000297232,0.000297232,0.000297232
82,14760.6,1.64989,0.68173,0.95145,0.69135,0.59058,0.61911,0.36514,1.47511,1.15577,1.04379,0.000283085,0.000283085,0.000283085
83,14939.8,1.6529,0.68701,0.94936,0.70049,0.59058,0.61399,0.36698,1.44559,1.12642,1.04612,0.000268938,0.000268938,0.000268938
